timestamp,name,category,confidence,distance_m,risk,x1,y1,x2,y2
2026-02-21T13:06:14.482,person,human,0.866,2.97,danger,0,121,231,711
2026-02-21T13:06:14.648,person,human,0.895,2.49,danger,223,8,1221,710
2026-02-21T13:06:14.648,person,human,0.866,2.96,danger,0,121,232,712
2026-02-21T13:06:14.812,person,human,0.897,2.48,danger,227,6,1216,711
2026-02-21T13:06:14.812,person,human,0.830,2.98,danger,1,122,232,710
2026-02-21T13:06:14.981,person,human,0.881,2.47,danger,224,4,1216,712
2026-02-21T13:06:14.981,person,human,0.848,2.97,danger,0,122,230,711
2026-02-21T13:06:15.144,person,human,0.898,2.48,danger,229,6,1228,711
2026-02-21T13:06:15.144,person,human,0.859,2.97,danger,1,122,231,711
2026-02-21T13:06:15.315,person,human,0.908,2.47,danger,232,5,1214,713
2026-02-21T13:06:15.315,person,human,0.873,2.96,danger,1,120,231,711
2026-02-21T13:06:15.490,person,human,0.904,2.48,danger,227,5,1210,712
2026-02-21T13:06:15.491,person,human,0.870,2.97,danger,0,122,232,711
2026-02-21T13:06:15.645,person,human,0.907,2.48,danger,232,8,1236,713
2026-02-21T13:06:15.645,person,human,0.874,2.98,danger,0,124,231,711
2026-02-21T13:06:15.820,person,human,0.894,2.48,danger,228,5,1219,712
2026-02-21T13:06:15.820,person,human,0.879,2.99,danger,0,126,229,711
2026-02-21T13:06:15.985,person,human,0.881,2.46,danger,230,2,1209,712
2026-02-21T13:06:15.985,person,human,0.895,3.0,danger,0,127,230,711
2026-02-21T13:06:16.147,person,human,0.894,2.48,danger,228,6,1227,711
2026-02-21T13:06:16.147,person,human,0.884,2.99,danger,0,126,229,711
2026-02-21T13:06:16.316,person,human,0.875,2.46,danger,227,0,1227,710
2026-02-21T13:06:16.316,person,human,0.887,2.98,danger,0,123,230,711
2026-02-21T13:06:16.481,person,human,0.918,2.48,danger,228,4,1213,711
2026-02-21T13:06:16.481,person,human,0.881,2.98,danger,0,123,230,711
2026-02-21T13:06:16.649,person,human,0.893,2.48,danger,227,6,1188,711
2026-02-21T13:06:16.649,person,human,0.898,2.99,danger,0,125,229,711
2026-02-21T13:06:16.863,person,human,0.901,2.47,danger,229,3,1188,712
2026-02-21T13:06:16.863,person,human,0.891,2.99,danger,0,125,231,711
2026-02-21T13:06:17.073,person,human,0.886,2.47,danger,227,3,1185,712
2026-02-21T13:06:17.073,person,human,0.889,2.96,danger,0,120,230,711
2026-02-21T13:06:17.263,person,human,0.898,2.47,danger,228,4,1179,712
2026-02-21T13:06:17.263,person,human,0.882,2.99,danger,0,125,229,711
2026-02-21T13:06:17.420,person,human,0.893,2.48,danger,229,5,1174,712
2026-02-21T13:06:17.421,person,human,0.883,2.99,danger,0,125,231,711
2026-02-21T13:06:17.589,person,human,0.902,2.47,danger,230,3,1189,712
2026-02-21T13:06:17.589,person,human,0.885,2.97,danger,0,122,231,711
2026-02-21T13:06:17.748,person,human,0.898,2.47,danger,228,3,1189,712
2026-02-21T13:06:17.748,person,human,0.873,2.95,danger,0,117,231,711
2026-02-21T13:06:17.963,person,human,0.885,2.47,danger,226,3,1193,712
2026-02-21T13:06:17.963,person,human,0.882,2.95,danger,0,117,229,711
2026-02-21T13:06:18.127,person,human,0.904,2.47,danger,230,4,1195,712
2026-02-21T13:06:18.127,person,human,0.872,2.94,danger,0,115,231,711
2026-02-21T13:06:18.288,person,human,0.887,2.47,danger,227,4,1189,712
2026-02-21T13:06:18.288,person,human,0.865,2.94,danger,0,116,229,711
2026-02-21T13:06:18.447,person,human,0.890,2.46,danger,222,0,1187,711
2026-02-21T13:06:18.447,person,human,0.876,2.95,danger,0,117,230,711
2026-02-21T13:06:18.614,person,human,0.894,2.46,danger,217,0,1188,711
2026-02-21T13:06:18.615,person,human,0.863,2.97,danger,0,121,230,711
2026-02-21T13:06:18.774,person,human,0.892,2.46,danger,219,0,1182,711
2026-02-21T13:06:18.774,person,human,0.870,2.95,danger,0,117,231,711
2026-02-21T13:06:18.943,person,human,0.892,2.47,danger,228,3,1180,712
2026-02-21T13:06:18.943,person,human,0.873,2.94,danger,0,115,230,711
2026-02-21T13:06:19.116,person,human,0.886,2.46,danger,230,0,1183,712
2026-02-21T13:06:19.116,person,human,0.866,2.95,danger,0,118,230,711
2026-02-21T13:06:19.285,person,human,0.884,2.47,danger,231,4,1191,712
2026-02-21T13:06:19.285,person,human,0.882,2.94,danger,0,116,231,711
2026-02-21T13:06:19.449,person,human,0.896,2.47,danger,230,3,1188,712
2026-02-21T13:06:19.449,person,human,0.872,2.95,danger,0,117,231,711
2026-02-21T13:06:19.611,person,human,0.895,2.47,danger,229,3,1188,712
2026-02-21T13:06:19.611,person,human,0.872,2.96,danger,0,119,232,711
2026-02-21T13:06:19.780,person,human,0.879,2.46,danger,226,0,1206,712
2026-02-21T13:06:19.780,person,human,0.880,2.94,danger,0,116,231,711
2026-02-21T13:06:19.944,person,human,0.877,2.46,danger,232,4,1211,714
2026-02-21T13:06:19.944,person,human,0.741,2.96,danger,0,119,231,711
2026-02-21T13:06:20.114,person,human,0.875,2.47,danger,217,4,1212,713
2026-02-21T13:06:20.114,person,human,0.656,2.96,danger,0,120,230,711
2026-02-21T13:06:20.278,person,human,0.732,2.46,danger,59,0,1166,711
2026-02-21T13:06:20.442,person,human,0.802,2.47,danger,180,5,1153,714
2026-02-21T13:06:20.442,person,human,0.725,2.94,danger,0,117,229,713
2026-02-21T13:06:20.613,person,human,0.882,2.48,danger,224,9,1165,715
2026-02-21T13:06:20.613,person,human,0.845,2.94,danger,0,116,230,711
2026-02-21T13:06:20.778,person,human,0.901,2.49,danger,228,10,1151,712
2026-02-21T13:06:20.778,person,human,0.862,2.95,danger,0,117,231,710
